work_id,shift_amount,anchor_perf_id,target_perf_id,anchor_audio_file,target_audio_file
109,0,187937,5600,109_187937_Anchor_shift0.wav,109_5600_Target_shift0.wav
109,1,187937,5600,109_187937_Anchor_shift+1.wav,109_5600_Target_shift+1.wav
109,-1,187937,5600,109_187937_Anchor_shift-1.wav,109_5600_Target_shift-1.wav
128,0,23706,1570985,128_23706_Anchor_shift0.wav,128_1570985_Target_shift0.wav
128,1,23706,1570985,128_23706_Anchor_shift+1.wav,128_1570985_Target_shift+1.wav
128,-1,23706,1570985,128_23706_Anchor_shift-1.wav,128_1570985_Target_shift-1.wav
148,0,456776,1761420,148_456776_Anchor_shift0.wav,148_1761420_Target_shift0.wav
148,1,456776,1761420,148_456776_Anchor_shift+1.wav,148_1761420_Target_shift+1.wav
148,-1,456776,1761420,148_456776_Anchor_shift-1.wav,148_1761420_Target_shift-1.wav
167,0,279577,482964,167_279577_Anchor_shift0.wav,167_482964_Target_shift0.wav
167,1,279577,482964,167_279577_Anchor_shift+1.wav,167_482964_Target_shift+1.wav
167,-1,279577,482964,167_279577_Anchor_shift-1.wav,167_482964_Target_shift-1.wav
177,0,180581,1751712,177_180581_Anchor_shift0.wav,177_1751712_Target_shift0.wav
177,1,180581,1751712,177_180581_Anchor_shift+1.wav,177_1751712_Target_shift+1.wav
177,-1,180581,1751712,177_180581_Anchor_shift-1.wav,177_1751712_Target_shift-1.wav
190,0,1589247,808165,190_1589247_Anchor_shift0.wav,190_808165_Target_shift0.wav
190,1,1589247,808165,190_1589247_Anchor_shift+1.wav,190_808165_Target_shift+1.wav
190,-1,1589247,808165,190_1589247_Anchor_shift-1.wav,190_808165_Target_shift-1.wav
209,0,154332,778524,209_154332_Anchor_shift0.wav,209_778524_Target_shift0.wav
209,1,154332,778524,209_154332_Anchor_shift+1.wav,209_778524_Target_shift+1.wav
209,-1,154332,778524,209_154332_Anchor_shift-1.wav,209_778524_Target_shift-1.wav
211,0,166663,211,211_166663_Anchor_shift0.wav,211_211_Target_shift0.wav
211,1,166663,211,211_166663_Anchor_shift+1.wav,211_211_Target_shift+1.wav
211,-1,166663,211,211_166663_Anchor_shift-1.wav,211_211_Target_shift-1.wav
215,0,1136935,582498,215_1136935_Anchor_shift0.wav,215_582498_Target_shift0.wav
215,1,1136935,582498,215_1136935_Anchor_shift+1.wav,215_582498_Target_shift+1.wav
215,-1,1136935,582498,215_1136935_Anchor_shift-1.wav,215_582498_Target_shift-1.wav
224,0,1417840,1571994,224_1417840_Anchor_shift0.wav,224_1571994_Target_shift0.wav
224,1,1417840,1571994,224_1417840_Anchor_shift+1.wav,224_1571994_Target_shift+1.wav
224,-1,1417840,1571994,224_1417840_Anchor_shift-1.wav,224_1571994_Target_shift-1.wav
233,0,417379,858115,233_417379_Anchor_shift0.wav,233_858115_Target_shift0.wav
233,1,417379,858115,233_417379_Anchor_shift+1.wav,233_858115_Target_shift+1.wav
233,-1,417379,858115,233_417379_Anchor_shift-1.wav,233_858115_Target_shift-1.wav
249,0,82495,1522766,249_82495_Anchor_shift0.wav,249_1522766_Target_shift0.wav
249,1,82495,1522766,249_82495_Anchor_shift+1.wav,249_1522766_Target_shift+1.wav
249,-1,82495,1522766,249_82495_Anchor_shift-1.wav,249_1522766_Target_shift-1.wav
272,0,710704,774329,272_710704_Anchor_shift0.wav,272_774329_Target_shift0.wav
272,1,710704,774329,272_710704_Anchor_shift+1.wav,272_774329_Target_shift+1.wav
272,-1,710704,774329,272_710704_Anchor_shift-1.wav,272_774329_Target_shift-1.wav
296,0,246197,1136094,296_246197_Anchor_shift0.wav,296_1136094_Target_shift0.wav
296,1,246197,1136094,296_246197_Anchor_shift+1.wav,296_1136094_Target_shift+1.wav
296,-1,246197,1136094,296_246197_Anchor_shift-1.wav,296_1136094_Target_shift-1.wav
357,0,357,365920,357_357_Anchor_shift0.wav,357_365920_Target_shift0.wav
357,1,357,365920,357_357_Anchor_shift+1.wav,357_365920_Target_shift+1.wav
357,-1,357,365920,357_357_Anchor_shift-1.wav,357_365920_Target_shift-1.wav
403,0,581994,717331,403_581994_Anchor_shift0.wav,403_717331_Target_shift0.wav
403,1,581994,717331,403_581994_Anchor_shift+1.wav,403_717331_Target_shift+1.wav
403,-1,581994,717331,403_581994_Anchor_shift-1.wav,403_717331_Target_shift-1.wav
418,0,418,1630810,418_418_Anchor_shift0.wav,418_1630810_Target_shift0.wav
418,1,418,1630810,418_418_Anchor_shift+1.wav,418_1630810_Target_shift+1.wav
418,-1,418,1630810,418_418_Anchor_shift-1.wav,418_1630810_Target_shift-1.wav
456,0,35298,654141,456_35298_Anchor_shift0.wav,456_654141_Target_shift0.wav
456,1,35298,654141,456_35298_Anchor_shift+1.wav,456_654141_Target_shift+1.wav
456,-1,35298,654141,456_35298_Anchor_shift-1.wav,456_654141_Target_shift-1.wav
498,0,1623056,597172,498_1623056_Anchor_shift0.wav,498_597172_Target_shift0.wav
498,1,1623056,597172,498_1623056_Anchor_shift+1.wav,498_597172_Target_shift+1.wav
498,-1,1623056,597172,498_1623056_Anchor_shift-1.wav,498_597172_Target_shift-1.wav
571,0,434781,574431,571_434781_Anchor_shift0.wav,571_574431_Target_shift0.wav
571,1,434781,574431,571_434781_Anchor_shift+1.wav,571_574431_Target_shift+1.wav
571,-1,434781,574431,571_434781_Anchor_shift-1.wav,571_574431_Target_shift-1.wav
580,0,1297911,1337909,580_1297911_Anchor_shift0.wav,580_1337909_Target_shift0.wav
580,1,1297911,1337909,580_1297911_Anchor_shift+1.wav,580_1337909_Target_shift+1.wav
580,-1,1297911,1337909,580_1297911_Anchor_shift-1.wav,580_1337909_Target_shift-1.wav
623,0,477967,623,623_477967_Anchor_shift0.wav,623_623_Target_shift0.wav
623,1,477967,623,623_477967_Anchor_shift+1.wav,623_623_Target_shift+1.wav
623,-1,477967,623,623_477967_Anchor_shift-1.wav,623_623_Target_shift-1.wav
625,0,889224,1600084,625_889224_Anchor_shift0.wav,625_1600084_Target_shift0.wav
625,1,889224,1600084,625_889224_Anchor_shift+1.wav,625_1600084_Target_shift+1.wav
625,-1,889224,1600084,625_889224_Anchor_shift-1.wav,625_1600084_Target_shift-1.wav
640,0,761341,641,640_761341_Anchor_shift0.wav,640_641_Target_shift0.wav
640,1,761341,641,640_761341_Anchor_shift+1.wav,640_641_Target_shift+1.wav
640,-1,761341,641,640_761341_Anchor_shift-1.wav,640_641_Target_shift-1.wav
652,0,13248,1528564,652_13248_Anchor_shift0.wav,652_1528564_Target_shift0.wav
652,1,13248,1528564,652_13248_Anchor_shift+1.wav,652_1528564_Target_shift+1.wav
652,-1,13248,1528564,652_13248_Anchor_shift-1.wav,652_1528564_Target_shift-1.wav
728,0,872456,1633597,728_872456_Anchor_shift0.wav,728_1633597_Target_shift0.wav
728,1,872456,1633597,728_872456_Anchor_shift+1.wav,728_1633597_Target_shift+1.wav
728,-1,872456,1633597,728_872456_Anchor_shift-1.wav,728_1633597_Target_shift-1.wav
782,0,80521,1668720,782_80521_Anchor_shift0.wav,782_1668720_Target_shift0.wav
782,1,80521,1668720,782_80521_Anchor_shift+1.wav,782_1668720_Target_shift+1.wav
782,-1,80521,1668720,782_80521_Anchor_shift-1.wav,782_1668720_Target_shift-1.wav
787,0,149568,1682949,787_149568_Anchor_shift0.wav,787_1682949_Target_shift0.wav
787,1,149568,1682949,787_149568_Anchor_shift+1.wav,787_1682949_Target_shift+1.wav
787,-1,149568,1682949,787_149568_Anchor_shift-1.wav,787_1682949_Target_shift-1.wav
789,0,111433,148972,789_111433_Anchor_shift0.wav,789_148972_Target_shift0.wav
789,1,111433,148972,789_111433_Anchor_shift+1.wav,789_148972_Target_shift+1.wav
789,-1,111433,148972,789_111433_Anchor_shift-1.wav,789_148972_Target_shift-1.wav
801,0,75677,802,801_75677_Anchor_shift0.wav,801_802_Target_shift0.wav
801,1,75677,802,801_75677_Anchor_shift+1.wav,801_802_Target_shift+1.wav
801,-1,75677,802,801_75677_Anchor_shift-1.wav,801_802_Target_shift-1.wav
803,0,905704,1214788,803_905704_Anchor_shift0.wav,803_1214788_Target_shift0.wav
803,1,905704,1214788,803_905704_Anchor_shift+1.wav,803_1214788_Target_shift+1.wav
803,-1,905704,1214788,803_905704_Anchor_shift-1.wav,803_1214788_Target_shift-1.wav
864,0,1525234,1598645,864_1525234_Anchor_shift0.wav,864_1598645_Target_shift0.wav
864,1,1525234,1598645,864_1525234_Anchor_shift+1.wav,864_1598645_Target_shift+1.wav
864,-1,1525234,1598645,864_1525234_Anchor_shift-1.wav,864_1598645_Target_shift-1.wav
882,0,826609,1471630,882_826609_Anchor_shift0.wav,882_1471630_Target_shift0.wav
882,1,826609,1471630,882_826609_Anchor_shift+1.wav,882_1471630_Target_shift+1.wav
882,-1,826609,1471630,882_826609_Anchor_shift-1.wav,882_1471630_Target_shift-1.wav
890,0,306653,1114884,890_306653_Anchor_shift0.wav,890_1114884_Target_shift0.wav
890,1,306653,1114884,890_306653_Anchor_shift+1.wav,890_1114884_Target_shift+1.wav
890,-1,306653,1114884,890_306653_Anchor_shift-1.wav,890_1114884_Target_shift-1.wav
897,0,898,8849,897_898_Anchor_shift0.wav,897_8849_Target_shift0.wav
897,1,898,8849,897_898_Anchor_shift+1.wav,897_8849_Target_shift+1.wav
897,-1,898,8849,897_898_Anchor_shift-1.wav,897_8849_Target_shift-1.wav
934,0,483465,983614,934_483465_Anchor_shift0.wav,934_983614_Target_shift0.wav
934,1,483465,983614,934_483465_Anchor_shift+1.wav,934_983614_Target_shift+1.wav
934,-1,483465,983614,934_483465_Anchor_shift-1.wav,934_983614_Target_shift-1.wav
1051,0,652110,1051,1051_652110_Anchor_shift0.wav,1051_1051_Target_shift0.wav
1051,1,652110,1051,1051_652110_Anchor_shift+1.wav,1051_1051_Target_shift+1.wav
1051,-1,652110,1051,1051_652110_Anchor_shift-1.wav,1051_1051_Target_shift-1.wav
1110,0,669183,1677120,1110_669183_Anchor_shift0.wav,1110_1677120_Target_shift0.wav
1110,1,669183,1677120,1110_669183_Anchor_shift+1.wav,1110_1677120_Target_shift+1.wav
1110,-1,669183,1677120,1110_669183_Anchor_shift-1.wav,1110_1677120_Target_shift-1.wav
1120,0,48440,1308519,1120_48440_Anchor_shift0.wav,1120_1308519_Target_shift0.wav
1120,1,48440,1308519,1120_48440_Anchor_shift+1.wav,1120_1308519_Target_shift+1.wav
1120,-1,48440,1308519,1120_48440_Anchor_shift-1.wav,1120_1308519_Target_shift-1.wav
1153,0,1154,178281,1153_1154_Anchor_shift0.wav,1153_178281_Target_shift0.wav
1153,1,1154,178281,1153_1154_Anchor_shift+1.wav,1153_178281_Target_shift+1.wav
1153,-1,1154,178281,1153_1154_Anchor_shift-1.wav,1153_178281_Target_shift-1.wav
1230,0,561447,1232866,1230_561447_Anchor_shift0.wav,1230_1232866_Target_shift0.wav
1230,1,561447,1232866,1230_561447_Anchor_shift+1.wav,1230_1232866_Target_shift+1.wav
1230,-1,561447,1232866,1230_561447_Anchor_shift-1.wav,1230_1232866_Target_shift-1.wav
1276,0,295817,323957,1276_295817_Anchor_shift0.wav,1276_323957_Target_shift0.wav
1276,1,295817,323957,1276_295817_Anchor_shift+1.wav,1276_323957_Target_shift+1.wav
1276,-1,295817,323957,1276_295817_Anchor_shift-1.wav,1276_323957_Target_shift-1.wav
1360,0,724262,1523324,1360_724262_Anchor_shift0.wav,1360_1523324_Target_shift0.wav
1360,1,724262,1523324,1360_724262_Anchor_shift+1.wav,1360_1523324_Target_shift+1.wav
1360,-1,724262,1523324,1360_724262_Anchor_shift-1.wav,1360_1523324_Target_shift-1.wav
1415,0,1389598,709858,1415_1389598_Anchor_shift0.wav,1415_709858_Target_shift0.wav
1415,1,1389598,709858,1415_1389598_Anchor_shift+1.wav,1415_709858_Target_shift+1.wav
1415,-1,1389598,709858,1415_1389598_Anchor_shift-1.wav,1415_709858_Target_shift-1.wav
1440,0,300794,827416,1440_300794_Anchor_shift0.wav,1440_827416_Target_shift0.wav
1440,1,300794,827416,1440_300794_Anchor_shift+1.wav,1440_827416_Target_shift+1.wav
1440,-1,300794,827416,1440_300794_Anchor_shift-1.wav,1440_827416_Target_shift-1.wav
1443,0,117214,1550299,1443_117214_Anchor_shift0.wav,1443_1550299_Target_shift0.wav
1443,1,117214,1550299,1443_117214_Anchor_shift+1.wav,1443_1550299_Target_shift+1.wav
1443,-1,117214,1550299,1443_117214_Anchor_shift-1.wav,1443_1550299_Target_shift-1.wav
1447,0,1450,444250,1447_1450_Anchor_shift0.wav,1447_444250_Target_shift0.wav
1447,1,1450,444250,1447_1450_Anchor_shift+1.wav,1447_444250_Target_shift+1.wav
1447,-1,1450,444250,1447_1450_Anchor_shift-1.wav,1447_444250_Target_shift-1.wav
1454,0,387035,1455,1454_387035_Anchor_shift0.wav,1454_1455_Target_shift0.wav
1454,1,387035,1455,1454_387035_Anchor_shift+1.wav,1454_1455_Target_shift+1.wav
1454,-1,387035,1455,1454_387035_Anchor_shift-1.wav,1454_1455_Target_shift-1.wav
1466,0,188287,1170388,1466_188287_Anchor_shift0.wav,1466_1170388_Target_shift0.wav
1466,1,188287,1170388,1466_188287_Anchor_shift+1.wav,1466_1170388_Target_shift+1.wav
1466,-1,188287,1170388,1466_188287_Anchor_shift-1.wav,1466_1170388_Target_shift-1.wav
1593,0,1595,796207,1593_1595_Anchor_shift0.wav,1593_796207_Target_shift0.wav
1593,1,1595,796207,1593_1595_Anchor_shift+1.wav,1593_796207_Target_shift+1.wav
