work_id,perf_id_A,title_A,artist_A,yt_id_A,perf_id_B,title_B,artist_B,yt_id_B
109,187937,American Pie,Who's That Girl!,809cBri5SX8,1320943,American Pie,The Deep Dixie Boys,fXsgjPhjtuw
128,23706,All Tomorrow's Parties,Simple Minds,oNViXGfxOpw,1570985,All Tomorrow's Parties,Bud Benderbe,MSJJSPv68Fo
148,456776,Moon River,Peter Kent [DK],vNznheeLUMU,1761420,Moon River,Len Rhodes,OrM0wUvyRwg
167,279577,Rocket Man,The New Synthesizer Experience,UvSugLjBkNw,482964,Rocket Man,Hugo Montenegro,Rwoajj8TL4Y
177,180581,The Time Warp,Damian [GB],gti_D7jx7cM,1751712,Tiden blir skrudd,"Magenta, Columbia, Riff-Raff, Fortelleren",y4nTpNzsb_Y
190,1589247,Super Trouper,Amberian Dawn,8sThlAhyQw4,808165,Super Trouper,"Carolin Fortenbacher, Annette Wimmer, Annika Bruhns & Ensemble",LAe6Mw5bCT0
209,154332,Purple Haze,Coroner,aPmb_KMjANM,778524,"Holidaze (S'cuze Me, I Got Gifts to Buy)",Bob Rivers,22lzyqyRIYA
211,166663,Foxey Lady,Mary's Danish,ljV-gI0NHO4,983251,Foxy Lady,Federica Zammarchi,R4gWRnYuxN0
215,1136935,S.O.S. [ABBA],The Hit Co.,2VF1oQ_kPGA,582498,SOS,Katri Helena,WUHf9OdY228
224,1417840,Une belle histoire,Mario Cavallero,tb0elsxmlk8,1571994,Une belle histoire,Carolina Bubbico,QPKRgfgIOp4
233,417379,Always on My Mind,Tracy [Huang],s8Q-2RK1QOQ,858115,Je bleef bij me,Rob de Nijs,ren_6mKki8g
249,82495,Heaven,Leatherface,niSMg5glqNY,1522766,Knockin' on Heaven's Door,Luca Aquino,yZmB6vjKY3Q
272,710704,Song vom Hilfsarbeiter,Lisa Bauer,bR4DMyre1KA,774329,Ten čo tu včera bol,Eva Kostolányiová,8c1SmLPE2Pw
296,246197,Locomotive Breath,The Blues Collective,WLDC76AxeiU,1136094,Locomotive Breath,The Tribute Co.,bpzdMVuoUN4
357,357,Romeo and Juliet,Dire Straits,fGRtHd7UdYA,365920,Romeo and Juliet,John Illsley,UpjxIUVDm50
371,468099,Mister Bo Jangles,Bobby Cole,MR3TxlXxJfk,1195732,Mr. Bojangles,Marisa Malvino,OZa8exx73Mg
403,581994,Don't Speak,Leo [NO],3kSLyiARrRc,717331,Don't Speak,Vitamin String Quartet,qnXCdrNz_cM
418,418,Jacky,Jacques Brel,jxYVa0q8q_U,1630810,Jackie,Mort Shuman,XtZ3E2CiB_Q
456,35298,There Goes My Baby,The Walkmen,uvKs3qH2W4M,654141,There Goes My Baby,Steve Cropper,TvPxNY37Qm4
498,1623056,Süßmarie,Ernst Schultz,0S9Wh-q0E6Q,597172,Absolutely Sweet Marie,The Factotums,N-9DhoZcknw
571,434781,Round and Round,David Bowie,EDzSys1fPok,574431,Around and Around,Waysted,zj0nE8WX9x8
580,1297911,J.B. Good,Dick Rivers,eyChhyJw6JA,1337909,Johnny Se Bueno,Los Loud Jets,5n3ZgoWmA2Y
611,217968,Money for Nothing,Crew 7,n8FV0u1cb3M,1367165,Money for Nothing,Javier Malosetti,8wQJ8fgd4Wg
623,477967,The Sound of Silence,Amy Dickson,nAmI-2peQnk,353900,Der Raum des Schweigens,Bernd Clüver,G19cUGQjtGs
625,889224,The Times Are A Changing,Isabella Lundgren,X4Vdnza67dc,1600084,The Times They Are a Changing,Owe Sigvardsson,N0nx8MxPgPU
640,761341,A Hazy Shade of Winter,El ChorAzón,CgVHwdPUytc,1694375,A Hazy Shade of Winter,David & Anthony [US1],aqUEwFEEmpk
652,13248,Sweet Dreams,M'nC Featuring Silvy,mauNxtHXuCI,1528564,Sweet Dreams,Auditorium Band feat. Raiz,Esp5_BoiS-8
728,872456,I Started a Joke,Richard Clayderman,yRPSqkGqGsw,1633597,I Started a Joke,Ervinna & The Stylers,1ETN9Nxj8EY
782,80521,I Got You Babe,The Aranbee Pop Symphony Orchestra,B-hqOOZxQ5o,1668720,I Got You Babe,Jose and Patti,ELJlQfOXgdE
787,149568,In the Summertime,Frank Sidebottom,XvCR23pmG40,1682949,In the Summertime,Birds 'n Brass,d_OYkTHYO34
789,111433,Under My Thumb,The Stillroven,rjJctkLM8-o,148972,Under My Thumb,Wayne Gibson,9L48yMiR5wI
801,75677,Thank You,Lizz Wright,pTkg9Q4ogpQ,186357,Thank You,Chris Cornell,NxjByY9UrbA
803,905704,War,Black Stone Cherry,L2g9QGOYBlM,1214788,War,Chris Roberts,mEKUb90rBYw
864,1525234,Voyage voyage,Collectif métissé,98VinMp8n9E,1598645,Voyage voyage,Runes,3rrDoWX2dos
882,826609,Will You Love Me Tomorrow,Andy Gibb with Pat Arnold,m8bX2SjqJu0,1471630,Will You Love Me Tomorrow,Eddie Peregrina & The Brambles,ZiVlHWqGH3A
890,306653,Lay Down Sally,Daddy Mack Blues Band,2UiwrW57n9I,1114884,Lay Down Sally,Eric Clapton & Andy Fairweather-Low,jmMb5fSYKTQ
897,898,Here Comes My Baby,The Tremeloes,HQXbtlbQX70,8849,Here Comes My Baby,The Mavericks,cos9y6Mfv6s
934,483465,Seasons in the Sun,Bobby Wright,hQjzRu3Gqhs,983614,Wordt 't ja - wordt 't nee,Astrid Nijgh,Lv0iq6FeEC4
1051,652110,Wicked Game,Groovy Waters,CWOu7qazzO4,1157613,Wicked Game,Julia Westlin,zY85rhQHdNk
1088,80920,Secret Agent Man,The Go Getters,TeZfQ6-0nd0,725761,Tule uudestaan,Reijo Taipale,yr9Bfp0PU-k
1110,669183,Lilac Wine,Ché & Charlie,IObGWxyCqNI,1677120,Lilac Wine,Now Music,NXp_hbQ3P50
1120,48440,Ooh Child,Valerie Carter,N_BZpbOtQao,1308519,Ooh Child,Andréa Benezra,OLPrrkMq2Jc
1153,1154,Enjoy the Silence,Tori Amos,_gZzkGvyqzc,178281,Enjoy the Silence,Squealer,Zx_K1690R9U
1230,561447,Hurdy Gurdy Man,The Sound of Feeling,r1R_RBx55NA,1232866,Hurdy Gurdy Man,Feuerbach Quartett,Fi1GSzkTWKg
1276,295817,Midnight Hour,"Dee-Dee, Barry and The Movements",dhl3yy9JB4A,323957,Midnight Hour,The Tee-Set,m5Qus3Bno5o
1360,724262,Born to Lose,Ruby Braff,FT3Hf_e4IXo,1523324,Born to Lose,Joe Paul Nichols,X4xJuOY3b30
1415,1389598,Suzanne,Gregory Porter,PnHTLNRKWw4,709858,Susann,Dunja Rajter,UGL1_moJGrg
1440,300794,All I Ever Need Is You,Ray Sanders,5ytt9pk6cH8,827416,All I Ever Need Is You,"Teal Wicks, Jarrod Spector, Ensemble",uI2tsAMaOec
1443,117214,The Windmills of Your Mind,Mel Tormé,j6DMRX53UxE,1550299,Windmills of Your Mind,Alexander Claffy feat. Kate K-S & Josh Evans,ryFy7j71adE
1447,1450,Always Something There to Remind Me,Patti LaBelle & The Bluebelles,YtsupTwUIUg,444250,Always Something There to Remind Me,The 4 Seasons,MnF9g4kxaHs
1454,387035,Hey Jude,Yawar,IGJO-LN6Moc,1043208,Hey Jude,The Guess Who,6-3CMFdYiuk
1466,188287,You Better Move On,Pete Stride and John Plain,SIZPvzCISrc,1170388,You Better Move On,Los Pacaminos,Qx4YA8wQ2k8
1593,1595,All Together Now,The Muppets with Harry Smith,ebL6vu15AI0,796207,All Together Now,"Gilles Valiquette feat. Richard Séguin, Francine Raymond, André-Philippe Gagnon, Laurent Lavigne, Patrick Norman, François Cousineau, Alice Valiquette & Alexandre Desrochers",huxKaBiBLqo
1614,492851,Blue Rondo a la Turk,Ruins,n-AiO9Aa2mo,1611668,Blue Rondo a la Turk,"Klaus Paier, Stefan Gfrerrer, Roman Werni",4DIyK2YJw5Q
1634,17078,Tangled Up in Blue,Barb Jungr,Fs2d9uczZAI,430649,Tangled Up in Blue,The Whitlams,8SqsVKqqzZU
1636,1706967,Not Dark Yet,Dave Gahan & Soulsavers,ziHqfsIgCp0,458470,Klear om te gean,Die Twa,3Q8VGDU4zTs
1650,1650,Sorry Seems to Be the Hardest Word,Elton John,uL6MsiwaRMo,28769,Sorry Seems to Be the Hardest Word,Ray Charles with Elton John,3y29dWcuqQY
1743,718070,All Shook Up,The Monks of Moramanga,jy3QFWKl9G8,1143840,All Shook Up,Björgvin Halldórsson,C1hwaE4EghU
1758,11813,Jailhouse rock,Nick C.,cxROsbab4Bg,617689,Jailhouse Rock,Irwin Goodman,0tdxtIbaeE4
1786,133194,Return to Sender,Ettore Stratta - Memphis Symphony Orchestra,SU8YozJbHPU,171668,Return to Sender,Friðrik Ómar,bnCp7rLmqhs
1884,46602,Sisters of Mercy,Beth Orton,f4KnBqMJcU4,105720,Sisters of Mercy,Serena Ryder,zBNRBBR8C24
1894,840366,Let It Be,Smooth Jazz All Stars,vPZGJivP96Y,1562909,Let It Be,Music Travel Love,KzqoSeVMGrQ
1954,254678,Country Comfort,Wizz Jones,krkVXjpoHuU,850783,Country Comfort,Lewis & Leigh,llcRE6vlS_4
1969,1971,Being for the Benefit of Mr. Kite,Billy Connolly,y02vRC0NZyg,286212,Being for the Benefit of Mr. Kite,Al Di Meola,UJYWaKE3LXs
2061,606735,A Kind of Magic,Babies & Kids,L4b9j_wBSao,818618,A Kind of Magic,"Sharon D. Clarke, Alexander Hanson & Ensemble",kOZ0cJN7LZE
2106,30400,Down on the Corner,The Radiators,rp2s0tZpReA,1388655,Tå foår mieg knöck,Lasse Eriksson & Showbandet,Rd-TcsB871M
2138,19999,River Deep - Mountain High,Nilsson,FCcybf9zrkA,45487,River Deep - Mountain High,The Supremes & The Four Tops,WhpqA28lxKc
2143,96987,Put a Little Love in Your Heart,Leonard Nimoy,nc0XPDOK98k,757992,Put a Little Love in Your Heart,Mitch Ryder,sCcy09-JKYs
2196,41021,Stand,Lonnie Smith,7N2NhbS6ecc,106898,Stand,Edwin Starr,BcuuCmtuDC0
2204,2205,Synchronicity II,Rosetta Stone [GB2],o0gC4Zi5-tQ,246693,Synchronicity II,Two Ton Anvil,nMokLQKDtss
2325,2325,Gimme All Your Lovin',ZZ Top,k4VFFBCa5Aw,1298299,Gimme All Your Lovin',Jay Howie,rxdKxjtCb4s
2327,153231,Sharp Dressed Man,Lolly Pop,ViS1hMqzNPg,1374754,Neiche Schoin,Ostbahn Kurti & Die Chefpartie,SyIMBCoG5fY
2402,2402,Absolute Beginners,David Bowie,o_cHvtPB2dY,1135979,Absolute Beginners,The Hit Co.,RbzF3dnNk2s
2407,373469,Let's Dance,We Have Band,7p0I9KOUvMw,1135987,Let's Dance,The Hit Co.,fY9q3uQH2oE
2427,494000,God Only Knows,Dave Wilson Quartet,H76tLhW9Wj0,1361532,God Only Knows,Shrift,Ldl4BRKs25o
2461,26321,Love Me Two Times,George Winston,fYTCdHUhfQY,1554638,Love Me Two Times,The Great Pretenders,oiDyGbkxJAM
2474,348331,Free Ticket to Ride,Sly & Robbie,nUwxv_5FSwI,459700,Ticket to Ride,Rob Paparozzi,oxQ9th1KzkE
2606,79688,You Ain't Goin' Nowhere,The Crust Brothers,zjNxmz6Ty0E,959174,Chunsch eh nienet hii,Toni Vescoli,ThBXj0qh_q4
2633,1521021,L'hymne à l'amour,Tocadéo,dAHsjKDilUU,650087,Hymn to Love,Karin Hougaard,7GCgC4WJ9q0
2637,191188,Mon manège à moi,Florence Coste & Julien Dassin,0bu75RqpjLU,814570,Mon manège à moi,Ana Salazar,F9G046ZEI5s
2647,1684279,Padam padam,Gabrielle Ducomble,T6qYfp8IEVw,1254966,Padam,Světlana Nálepková,rjy7nyRhCCk
2656,25574,Is That All There Is?,Ann Hampton Callaway,FVs8u4l7a7M,677036,Sen pituinen se,Carola [FI] - Sov. & Ork. johto Aarno Raninen,wcQmnGrYXls
2835,391508,Summertime Blues,Ritchie Valens,8HcoXdVecXc,424940,Summertime Blues,The Baskervilles,hszRxWYSQik
2841,243063,Crimson and Clover,The Lettermen [US],WtTjGfyGUZg,324520,Crimson and Clover,Prince,0iNX1m9JnPU
2968,40488,Georgia on My Mind,Lou Rawls with the Orchestra of Onzy Matthews,9XxRJEirKAQ,169328,Georgia on My Mind,Renee Olstead,9ygzeZ1rdAw
3068,317997,I Can't Stand the Rain,Top of the Pops,Zq4jJGgeBok,1294040,I Can't Stand the Rain,Susan Angeletti,CF7gwrKt3Jc
3086,387139,I Call Your Name,Bombassa Beed,O7ejzxON1Bk,1218467,I Call Your Name,Frans Doolaard,oUTuIkFUn1g
3092,914292,Spanish Harlem,Living Marimbas,UVYqOb3jeLs,602168,Kaupungin kaunein kukka,Tapani Kansa,MSnE6MjC4w8
3101,340688,Dedicated to the One I Love,La Sera,FLvOaAxSlKU,570635,Dedicated to the One I Love,Mark Nadler,tZaQnN2eqUk
3105,806942,Tú serás mi baby,Francisco Heredero,zELzOy-a1nk,1292606,Tú serás mi baby,Tony Ronald y sus Kroner's,Ol_AVOageMw
3165,25243,Mother Nature's Son,Harry Nilsson,hfXZMDagd88,1561150,Mother Nature's Son,Mark Best,U9fi9Nh-xAQ
3174,381588,We Can Work It Out,Angel Whisper,Skug2WLFeQw,704401,We Can Work It Out,"Marilyn McCoo & Billy Davis, Jr.",6TiiWPCEbyQ
3185,34154,If I Needed Someone,Nellie McKay,SHve4uTqvvY,692247,If I Needed Someone,The Sting-Rays of Newburgh,vTFfOAN5f-s
3199,484384,"Honey, Don't!",Lee Rocker,r8aYz3NNK-I,1063467,"Honey, Don't",The Black Barons,Ss9WqK1TJTU
3276,292026,Let It Be Me,Phyllis Taylor Sparks,3hUBVCMLfVo,458527,Je t'appartiens,Olivier Despax,LMLW_trJdWc
