work_id,anchor_perf_id,target_perf_id,anchor_audio_file,target_audio_file
109,187937,5600,109_187937_Anchor_Chorus.wav,109_5600_Target_Chorus.wav
128,23706,1570985,128_23706_Anchor_Chorus.wav,128_1570985_Target_Chorus.wav
148,456776,1761420,148_456776_Anchor_Chorus.wav,148_1761420_Target_Chorus.wav
167,279577,482964,167_279577_Anchor_Chorus.wav,167_482964_Target_Chorus.wav
177,180581,1751712,177_180581_Anchor_Chorus.wav,177_1751712_Target_Chorus.wav
190,1589247,808165,190_1589247_Anchor_Chorus.wav,190_808165_Target_Chorus.wav
209,154332,778524,209_154332_Anchor_Chorus.wav,209_778524_Target_Chorus.wav
211,166663,211,211_166663_Anchor_Chorus.wav,211_211_Target_Chorus.wav
215,1136935,582498,215_1136935_Anchor_Chorus.wav,215_582498_Target_Chorus.wav
224,1417840,1571994,224_1417840_Anchor_Chorus.wav,224_1571994_Target_Chorus.wav
233,417379,858115,233_417379_Anchor_Chorus.wav,233_858115_Target_Chorus.wav
249,82495,1522766,249_82495_Anchor_Chorus.wav,249_1522766_Target_Chorus.wav
272,710704,774329,272_710704_Anchor_Chorus.wav,272_774329_Target_Chorus.wav
296,246197,1136094,296_246197_Anchor_Chorus.wav,296_1136094_Target_Chorus.wav
357,357,365920,357_357_Anchor_Chorus.wav,357_365920_Target_Chorus.wav
403,581994,717331,403_581994_Anchor_Chorus.wav,403_717331_Target_Chorus.wav
418,418,1630810,418_418_Anchor_Chorus.wav,418_1630810_Target_Chorus.wav
456,35298,654141,456_35298_Anchor_Chorus.wav,456_654141_Target_Chorus.wav
498,1623056,597172,498_1623056_Anchor_Chorus.wav,498_597172_Target_Chorus.wav
571,434781,574431,571_434781_Anchor_Chorus.wav,571_574431_Target_Chorus.wav
580,1297911,1337909,580_1297911_Anchor_Chorus.wav,580_1337909_Target_Chorus.wav
623,477967,623,623_477967_Anchor_Chorus.wav,623_623_Target_Chorus.wav
625,889224,1600084,625_889224_Anchor_Chorus.wav,625_1600084_Target_Chorus.wav
640,761341,641,640_761341_Anchor_Chorus.wav,640_641_Target_Chorus.wav
652,13248,1528564,652_13248_Anchor_Chorus.wav,652_1528564_Target_Chorus.wav
728,872456,1633597,728_872456_Anchor_Chorus.wav,728_1633597_Target_Chorus.wav
782,80521,1668720,782_80521_Anchor_Chorus.wav,782_1668720_Target_Chorus.wav
787,149568,1682949,787_149568_Anchor_Chorus.wav,787_1682949_Target_Chorus.wav
789,111433,148972,789_111433_Anchor_Chorus.wav,789_148972_Target_Chorus.wav
801,75677,802,801_75677_Anchor_Chorus.wav,801_802_Target_Chorus.wav
803,905704,1214788,803_905704_Anchor_Chorus.wav,803_1214788_Target_Chorus.wav
864,1525234,1598645,864_1525234_Anchor_Chorus.wav,864_1598645_Target_Chorus.wav
882,826609,1471630,882_826609_Anchor_Chorus.wav,882_1471630_Target_Chorus.wav
890,306653,1114884,890_306653_Anchor_Chorus.wav,890_1114884_Target_Chorus.wav
897,898,8849,897_898_Anchor_Chorus.wav,897_8849_Target_Chorus.wav
934,483465,983614,934_483465_Anchor_Chorus.wav,934_983614_Target_Chorus.wav
1051,652110,1051,1051_652110_Anchor_Chorus.wav,1051_1051_Target_Chorus.wav
1110,669183,1677120,1110_669183_Anchor_Chorus.wav,1110_1677120_Target_Chorus.wav
1120,48440,1308519,1120_48440_Anchor_Chorus.wav,1120_1308519_Target_Chorus.wav
1153,1154,178281,1153_1154_Anchor_Chorus.wav,1153_178281_Target_Chorus.wav
1230,561447,1232866,1230_561447_Anchor_Chorus.wav,1230_1232866_Target_Chorus.wav
1276,295817,323957,1276_295817_Anchor_Chorus.wav,1276_323957_Target_Chorus.wav
1360,724262,1523324,1360_724262_Anchor_Chorus.wav,1360_1523324_Target_Chorus.wav
1415,1389598,709858,1415_1389598_Anchor_Chorus.wav,1415_709858_Target_Chorus.wav
1440,300794,827416,1440_300794_Anchor_Chorus.wav,1440_827416_Target_Chorus.wav
1443,117214,1550299,1443_117214_Anchor_Chorus.wav,1443_1550299_Target_Chorus.wav
1447,1450,444250,1447_1450_Anchor_Chorus.wav,1447_444250_Target_Chorus.wav
1454,387035,1455,1454_387035_Anchor_Chorus.wav,1454_1455_Target_Chorus.wav
1466,188287,1170388,1466_188287_Anchor_Chorus.wav,1466_1170388_Target_Chorus.wav
1593,1595,796207,1593_1595_Anchor_Chorus.wav,1593_796207_Target_Chorus.wav
1614,492851,1611668,1614_492851_Anchor_Chorus.wav,1614_1611668_Target_Chorus.wav
1634,17078,430649,1634_17078_Anchor_Chorus.wav,1634_430649_Target_Chorus.wav
1636,1706967,458470,1636_1706967_Anchor_Chorus.wav,1636_458470_Target_Chorus.wav
1650,1650,1757,1650_1650_Anchor_Chorus.wav,1650_1757_Target_Chorus.wav
1743,718070,1143840,1743_718070_Anchor_Chorus.wav,1743_1143840_Target_Chorus.wav
1758,11813,617689,1758_11813_Anchor_Chorus.wav,1758_617689_Target_Chorus.wav
1786,133194,171668,1786_133194_Anchor_Chorus.wav,1786_171668_Target_Chorus.wav
1884,46602,105720,1884_46602_Anchor_Chorus.wav,1884_105720_Target_Chorus.wav
1894,840366,1562909,1894_840366_Anchor_Chorus.wav,1894_1562909_Target_Chorus.wav
1954,254678,850783,1954_254678_Anchor_Chorus.wav,1954_850783_Target_Chorus.wav
1969,1971,286212,1969_1971_Anchor_Chorus.wav,1969_286212_Target_Chorus.wav
2061,606735,818618,2061_606735_Anchor_Chorus.wav,2061_818618_Target_Chorus.wav
2106,30400,1388655,2106_30400_Anchor_Chorus.wav,2106_1388655_Target_Chorus.wav
2143,96987,757992,2143_96987_Anchor_Chorus.wav,2143_757992_Target_Chorus.wav
2196,41021,106898,2196_41021_Anchor_Chorus.wav,2196_106898_Target_Chorus.wav
2204,2205,246693,2204_2205_Anchor_Chorus.wav,2204_246693_Target_Chorus.wav
2325,2325,1298299,2325_2325_Anchor_Chorus.wav,2325_1298299_Target_Chorus.wav
2327,153231,1374754,2327_153231_Anchor_Chorus.wav,2327_1374754_Target_Chorus.wav
2402,2402,1135979,2402_2402_Anchor_Chorus.wav,2402_1135979_Target_Chorus.wav
2407,373469,1135987,2407_373469_Anchor_Chorus.wav,2407_1135987_Target_Chorus.wav
2461,26321,1554638,2461_26321_Anchor_Chorus.wav,2461_1554638_Target_Chorus.wav
2474,348331,459700,2474_348331_Anchor_Chorus.wav,2474_459700_Target_Chorus.wav
2606,79688,959174,2606_79688_Anchor_Chorus.wav,2606_959174_Target_Chorus.wav
2633,1521021,650087,2633_1521021_Anchor_Chorus.wav,2633_650087_Target_Chorus.wav
2637,191188,814570,2637_191188_Anchor_Chorus.wav,2637_814570_Target_Chorus.wav
2647,1684279,1254966,2647_1684279_Anchor_Chorus.wav,2647_1254966_Target_Chorus.wav
2656,25574,677036,2656_25574_Anchor_Chorus.wav,2656_677036_Target_Chorus.wav
2835,391508,424940,2835_391508_Anchor_Chorus.wav,2835_424940_Target_Chorus.wav
2841,243063,324520,2841_243063_Anchor_Chorus.wav,2841_324520_Target_Chorus.wav
2968,40488,169328,2968_40488_Anchor_Chorus.wav,2968_169328_Target_Chorus.wav
